                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.422,                 3.3265,                 1.3933,                 0.0089,                0.93333,                0.11287,                0.06217,                0.83708,                  3.014,                 1.0016,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                 1.4301,                 3.3249,                 1.4131,                0.00918,                0.95556,                0.16969,                0.10633,                0.83756,                 3.0004,                0.99574,             7.1426e-05,             7.1426e-05,             7.1426e-05
                      2,                 1.3211,                 3.1398,                 1.3525,                0.00878,                0.96667,                0.33152,                0.18762,                0.82588,                 2.9896,                0.97454,             0.00011424,             0.00011424,             0.00011424
                      3,                 1.1032,                 2.7436,                 1.2186,                0.00876,                0.98889,                0.40158,                0.23359,                0.90398,                 2.9659,                 1.0209,             0.00015703,             0.00015703,             0.00015703
                      4,                 1.0784,                 2.0734,                  1.177,                  0.009,                0.98889,                0.41369,                0.23195,                0.98883,                 2.9052,                 1.0933,              0.0001998,              0.0001998,              0.0001998
                      5,                 1.0044,                 1.6259,                 1.1536,                0.97614,                0.13008,                0.46636,                0.26626,                  1.002,                 2.8447,                 1.1405,             0.00024253,             0.00024253,             0.00024253
                      6,                 1.0525,                 1.6818,                 1.1728,                0.90791,                0.19363,                0.44931,                0.26246,                 1.0944,                 2.9096,                 1.2434,             0.00028523,             0.00028523,             0.00028523
                      7,                 1.0056,                 1.5219,                 1.1324,                0.29404,                0.64996,                0.34259,                0.16344,                 1.1803,                 3.0805,                 1.3614,             0.00032791,             0.00032791,             0.00032791
                      8,                0.96632,                 1.4665,                 1.1146,                0.67827,                0.14869,                0.38991,                0.17291,                 1.3641,                 3.1628,                 1.5248,             0.00037056,             0.00037056,             0.00037056
                      9,                0.98515,                 1.3204,                 1.1252,                0.93643,                0.07065,                0.42664,                0.22637,                 1.3515,                 3.0122,                 1.5239,             0.00041318,             0.00041318,             0.00041318
                     10,                0.96685,                 1.3029,                 1.1164,                      1,                0.06077,                0.48307,                0.25309,                 1.3383,                 2.9373,                 1.4276,             0.00045577,             0.00045577,             0.00045577
                     11,                0.90023,                 1.2822,                 1.0804,                0.90169,                0.07358,                0.56931,                0.31158,                 1.3077,                   2.79,                 1.4081,             0.00049833,             0.00049833,             0.00049833
                     12,                0.89975,                 1.3102,                 1.1159,                 0.8857,                0.22525,                0.57625,                0.30992,                 1.3229,                 2.7149,                    1.4,             0.00054087,             0.00054087,             0.00054087
                     13,                0.90754,                 1.1986,                 1.1165,                0.85091,                0.24051,                0.62057,                0.35162,                 1.1762,                 2.6281,                 1.2533,             0.00058338,             0.00058338,             0.00058338
                     14,                0.90143,                 1.2006,                 1.0995,                0.87967,                0.24615,                0.60164,                0.34789,                  1.198,                 2.4479,                  1.235,             0.00062586,             0.00062586,             0.00062586
                     15,                0.87105,                 1.2287,                   1.08,                0.87072,                0.29139,                0.65955,                0.38948,                 1.2161,                   2.46,                 1.2714,             0.00066831,             0.00066831,             0.00066831
                     16,                0.86147,                 1.1586,                 1.0711,                0.71507,                 0.2839,                0.58911,                0.32556,                 1.3077,                 2.3823,                 1.3537,             0.00071073,             0.00071073,             0.00071073
                     17,                0.92325,                 1.1345,                 1.1246,                0.67947,                0.36473,                0.61741,                  0.341,                  1.281,                 2.4878,                 1.4109,             0.00075312,             0.00075312,             0.00075312
                     18,                0.86995,                 1.1064,                 1.0939,                0.73419,                0.41247,                0.61903,                0.32083,                 1.3175,                 2.5235,                 1.4348,             0.00079549,             0.00079549,             0.00079549
                     19,                0.88244,                 1.0413,                 1.0506,                0.74168,                0.58519,                 0.6776,                0.34007,                 1.3134,                 2.2791,                 1.4059,             0.00083782,             0.00083782,             0.00083782
                     20,                0.80021,                 1.0259,                  1.058,                0.69068,                0.61111,                0.66157,                0.35439,                 1.3546,                 2.1096,                 1.4187,             0.00088013,             0.00088013,             0.00088013
                     21,                0.84943,                 1.0371,                 1.0557,                 0.7155,                0.55748,                0.70888,                0.40817,                 1.3939,                 2.0509,                 1.4998,             0.00092241,             0.00092241,             0.00092241
                     22,                0.82455,                 1.0182,                 1.0451,                0.74373,                0.62305,                0.76812,                0.43603,                 1.3532,                 1.9958,                 1.4508,             0.00096467,             0.00096467,             0.00096467
                     23,                0.76365,                 1.0027,                 1.0359,                0.79997,                  0.681,                0.77285,                0.42209,                 1.4377,                 1.8602,                 1.5574,              0.0010069,              0.0010069,              0.0010069
                     24,                0.88688,                 1.0233,                 1.0915,                 0.7864,                0.63796,                0.73246,                0.41165,                 1.4337,                 1.7723,                  1.498,              0.0010491,              0.0010491,              0.0010491
                     25,                0.89695,                 1.0489,                 1.0822,                0.62596,                0.72222,                0.70168,                0.42311,                 1.3243,                 1.7374,                 1.4256,              0.0010913,              0.0010913,              0.0010913
                     26,                0.80299,                0.96866,                 1.0412,                0.77106,                0.57284,                0.67256,                0.38603,                 1.4062,                 1.7265,                 1.5137,              0.0011334,              0.0011334,              0.0011334
                     27,                0.78488,                0.97987,                 1.0303,                 0.5608,                0.55655,                 0.6145,                0.31161,                 1.5916,                 1.9639,                  1.778,              0.0011755,              0.0011755,              0.0011755
                     28,                0.84559,                 1.0007,                 1.0956,                0.53847,                  0.583,                0.63817,                0.33163,                 1.4996,                 1.8768,                 1.6728,              0.0012176,              0.0012176,              0.0012176
                     29,                0.82132,                0.99112,                 1.0368,                0.67082,                 0.5505,                0.60275,                0.33456,                 1.5507,                 2.1305,                 1.6897,              0.0012596,              0.0012596,              0.0012596
                     30,                0.79396,                0.94538,                 1.0332,                0.73756,                0.53956,                0.67996,                0.31905,                 1.7024,                 1.9888,                 1.7907,              0.0013017,              0.0013017,              0.0013017
                     31,                0.75365,                0.89473,                 1.0336,                0.63065,                0.60386,                0.64647,                 0.3118,                 1.6649,                 1.8992,                 1.7155,              0.0013437,              0.0013437,              0.0013437
                     32,                0.88842,                0.96093,                  1.131,                 0.6675,                0.63108,                0.69688,                0.28151,                 1.7855,                 2.2122,                 1.7595,              0.0013856,              0.0013856,              0.0013856
                     33,                 0.8276,                 0.9317,                 1.0457,                0.69595,                0.62472,                0.70293,                0.36929,                  1.434,                 2.0043,                 1.5457,              0.0014134,              0.0014134,              0.0014134
                     34,                 0.8433,                0.95796,                 1.0968,                0.69081,                0.62143,                0.73796,                0.38111,                 1.4398,                 1.8826,                 1.5486,              0.0014134,              0.0014134,              0.0014134
                     35,                0.82587,                0.94938,                 1.0509,                0.71122,                0.60529,                0.73975,                0.43439,                 1.3899,                 1.7703,                 1.5597,               0.001413,               0.001413,               0.001413
                     36,                0.83465,                0.97806,                 1.0701,                0.51214,                0.77336,                0.73987,                0.41032,                 1.3399,                 1.5648,                 1.4914,              0.0014125,              0.0014125,              0.0014125
                     37,                0.78723,                0.94057,                 1.0439,                0.59424,                0.65847,                0.70203,                0.39486,                 1.4092,                 1.4493,                  1.509,               0.001412,               0.001412,               0.001412
                     38,                0.79884,                0.92448,                 1.0859,                0.66992,                0.53606,                0.58935,                0.36338,                 1.4019,                 1.6523,                  1.407,              0.0014116,              0.0014116,              0.0014116
                     39,                 0.9345,                 1.0836,                 1.1437,                0.79351,                0.46843,                0.63609,                 0.3355,                 1.4833,                 1.8984,                 1.5953,              0.0014111,              0.0014111,              0.0014111
                     40,                0.80869,                 0.9307,                 1.0709,                0.68616,                0.64282,                0.63719,                0.30064,                  1.668,                   1.95,                 1.8478,              0.0014106,              0.0014106,              0.0014106
                     41,                0.81454,                0.91629,                 1.0596,                0.52505,                   0.65,                0.56989,                0.26894,                 1.7681,                 2.0103,                 1.9459,              0.0014101,              0.0014101,              0.0014101
                     42,                0.81396,                0.85275,                 1.0609,                0.41176,                0.44651,                0.47534,                0.20899,                 1.6278,                 2.0315,                 1.7857,              0.0014097,              0.0014097,              0.0014097
                     43,                0.76761,                0.91526,                 1.0431,                0.60499,                0.57037,                0.57108,                0.33378,                 1.5128,                 1.8067,                  1.625,              0.0014092,              0.0014092,              0.0014092
                     44,                 0.8423,                0.91562,                 1.0772,                0.55427,                0.60173,                0.58315,                0.34436,                 1.4851,                 1.7276,                 1.6197,              0.0014087,              0.0014087,              0.0014087
                     45,                0.78667,                0.88465,                  1.048,                0.36745,                0.44278,                0.42209,                0.24949,                 1.5682,                 2.2624,                 1.7294,              0.0014083,              0.0014083,              0.0014083
                     46,                0.78738,                0.85525,                 1.0693,                0.40578,                0.45421,                0.36815,                0.18704,                  1.821,                 2.3974,                 1.9153,              0.0014078,              0.0014078,              0.0014078
                     47,                0.79625,                0.90904,                 1.0576,                0.29373,                0.45883,                 0.3268,                0.13704,                 1.9857,                 2.5639,                 2.1512,              0.0014073,              0.0014073,              0.0014073
                     48,                0.83406,                0.86818,                 1.0703,                0.49189,                0.21296,                0.25608,                0.10257,                 2.0285,                 2.8309,                  2.238,              0.0014068,              0.0014068,              0.0014068
                     49,                0.74998,                0.79684,                 1.0131,                0.30609,                0.47316,                0.25972,                0.10157,                 2.0737,                 3.3744,                 2.2687,              0.0014064,              0.0014064,              0.0014064
                     50,                0.78765,                0.86304,                 1.0386,                0.46601,                0.37778,                  0.327,                 0.1193,                 2.0694,                 3.1059,                 2.2518,              0.0014059,              0.0014059,              0.0014059
                     51,                0.76124,                0.81551,                 1.0247,                0.64363,                0.32475,                0.37327,                0.19188,                 1.9462,                 2.4093,                 2.1272,              0.0014054,              0.0014054,              0.0014054
                     52,                0.76889,                0.78991,                 1.0062,                0.59639,                0.43148,                0.48409,                0.24179,                  1.825,                 2.1128,                 1.9708,              0.0014049,              0.0014049,              0.0014049
                     53,                0.77668,                0.79296,                 1.0221,                0.66806,                0.52963,                0.60073,                0.28655,                 1.8081,                 1.9975,                 1.9644,              0.0014045,              0.0014045,              0.0014045
                     54,                0.72252,                0.71407,                0.99224,                0.58775,                0.51566,                0.59245,                0.29572,                 1.7439,                 2.0675,                 1.8829,               0.001404,               0.001404,               0.001404
                     55,                0.75002,                0.76306,                 1.0127,                0.62063,                0.49969,                0.57497,                0.25331,                 1.8479,                 2.2867,                 2.0068,              0.0014035,              0.0014035,              0.0014035
                     56,                0.73265,                0.77239,                 1.0279,                0.53378,                 0.5129,                0.51823,                0.21612,                 2.0862,                 2.3822,                 2.2119,              0.0014031,              0.0014031,              0.0014031
                     57,                0.81526,                0.84301,                 1.0726,                0.55611,                 0.5317,                0.60028,                0.23566,                  1.994,                 2.2591,                 2.0986,              0.0014026,              0.0014026,              0.0014026
                     58,                0.77725,                0.78946,                 1.0304,                0.51834,                0.54088,                0.61826,                0.28628,                 1.7881,                 1.9878,                 1.8908,              0.0014021,              0.0014021,              0.0014021
                     59,                0.72176,                0.76188,                  1.015,                0.58116,                   0.65,                0.64544,                 0.3652,                 1.6087,                 1.7645,                 1.8276,              0.0014016,              0.0014016,              0.0014016
                     60,                0.75448,                0.73547,                 1.0055,                0.65526,                0.61239,                0.67127,                0.37473,                 1.6595,                 1.7701,                 1.9174,              0.0014012,              0.0014012,              0.0014012
                     61,                0.71565,                0.70604,                0.99572,                0.73607,                0.61993,                0.67427,                 0.3646,                 1.6159,                 1.6397,                 1.8016,              0.0014007,              0.0014007,              0.0014007
                     62,                0.74038,                0.76619,                 1.0294,                0.60122,                0.62407,                0.66103,                0.38098,                 1.5503,                 1.6107,                 1.6993,              0.0014002,              0.0014002,              0.0014002
                     63,                0.70954,                0.74392,                 1.0011,                0.50077,                0.56481,                0.63993,                0.37598,                 1.4355,                 1.7046,                  1.592,              0.0013998,              0.0013998,              0.0013998
                     64,                0.79813,                0.77427,                 1.0546,                0.70192,                0.49953,                0.65821,                 0.3518,                 1.4558,                 1.8079,                 1.6829,              0.0013993,              0.0013993,              0.0013993
                     65,                0.72327,                0.75352,                 1.0066,                0.81769,                0.43718,                0.68007,                0.36935,                 1.4939,                 1.6098,                 1.6837,              0.0013988,              0.0013988,              0.0013988
                     66,                0.71308,                0.72208,                 1.0095,                0.60471,                0.63545,                0.66277,                0.36537,                 1.5105,                 1.5177,                 1.6914,              0.0013983,              0.0013983,              0.0013983
                     67,                0.73053,                0.71818,                 1.0141,                0.63435,                0.68889,                0.62994,                0.38054,                 1.4444,                 1.4841,                  1.643,              0.0013979,              0.0013979,              0.0013979
                     68,                0.69156,                0.68145,                0.96713,                0.64456,                0.72778,                0.72634,                0.43776,                 1.3985,                 1.4568,                 1.6198,              0.0013974,              0.0013974,              0.0013974
                     69,                0.70286,                0.71858,                  1.006,                0.61681,                0.68704,                0.66488,                0.38971,                  1.338,                 1.4858,                 1.6057,              0.0013969,              0.0013969,              0.0013969
                     70,                0.72033,                 0.7004,                 0.9677,                0.66184,                0.63889,                0.66571,                0.42134,                 1.2832,                 1.5096,                 1.5997,              0.0013965,              0.0013965,              0.0013965
                     71,                0.74065,                0.69154,                0.99881,                0.56756,                0.73789,                0.68009,                0.43233,                 1.2744,                 1.4276,                  1.564,               0.001396,               0.001396,               0.001396
                     72,                0.71105,                0.69956,                0.98723,                0.68164,                0.67071,                0.69941,                0.44789,                  1.242,                  1.471,                 1.4978,              0.0013955,              0.0013955,              0.0013955
                     73,                0.71061,                0.65555,                 1.0014,                0.63287,                0.61307,                0.64545,                0.42161,                 1.2679,                   1.55,                 1.4841,               0.001395,               0.001395,               0.001395
                     74,                0.64372,                0.62151,                0.94345,                0.67036,                0.57568,                0.58761,                0.39002,                 1.2552,                 1.6688,                 1.5162,              0.0013946,              0.0013946,              0.0013946
                     75,                0.70762,                0.71745,                 1.0336,                0.63188,                0.69074,                0.62316,                0.39075,                 1.3738,                 1.6173,                 1.6068,              0.0013941,              0.0013941,              0.0013941
                     76,                0.70889,                0.67233,                0.98395,                0.61872,                    0.7,                0.67892,                0.40577,                 1.3696,                 1.5374,                 1.5862,              0.0013936,              0.0013936,              0.0013936
                     77,                0.70501,                  0.704,                0.98447,                0.70948,                0.71716,                0.74976,                0.42787,                 1.4831,                 1.4805,                 1.7006,              0.0013932,              0.0013932,              0.0013932
                     78,                0.68638,                0.65927,                      1,                0.64982,                0.69239,                0.69337,                0.40158,                  1.451,                  1.474,                 1.6524,              0.0013927,              0.0013927,              0.0013927
                     79,                 0.6795,                0.63678,                0.98753,                0.67812,                0.69616,                0.76012,                0.45315,                 1.4323,                 1.5952,                 1.6392,              0.0013922,              0.0013922,              0.0013922
                     80,                0.68381,                0.68874,                 1.0093,                0.55439,                0.81717,                 0.7664,                0.48875,                 1.4493,                 1.8031,                 1.6925,              0.0013917,              0.0013917,              0.0013917
                     81,                0.74826,                0.70604,                 1.0577,                0.61079,                0.71296,                0.74133,                0.46095,                 1.4072,                 1.6441,                 1.6422,              0.0013913,              0.0013913,              0.0013913
                     82,                0.70055,                0.67074,                0.99452,                0.66391,                   0.75,                0.79391,                0.47481,                 1.4023,                 1.4841,                 1.6407,              0.0013908,              0.0013908,              0.0013908
                     83,                0.65032,                0.67085,                0.97928,                0.78647,                0.71296,                0.79046,                0.48696,                 1.3668,                 1.3826,                 1.6301,              0.0013903,              0.0013903,              0.0013903
                     84,                0.65677,                0.63115,                0.99141,                0.73632,                0.71296,                0.77528,                0.45697,                  1.373,                 1.4929,                 1.6433,              0.0013899,              0.0013899,              0.0013899
                     85,                0.68504,                0.63161,                0.99966,                0.75088,                0.66944,                0.80053,                0.47027,                 1.4306,                 1.4889,                 1.6413,              0.0013894,              0.0013894,              0.0013894
                     86,                0.64878,                0.63044,                0.98394,                0.69085,                0.69762,                0.80992,                0.51294,                 1.3544,                 1.4203,                   1.56,              0.0013889,              0.0013889,              0.0013889
                     87,                0.64312,                0.60627,                0.96559,                0.77331,                0.77588,                0.87498,                0.55796,                 1.3243,                 1.2473,                 1.5455,              0.0013884,              0.0013884,              0.0013884
                     88,                0.64963,                 0.6313,                0.96781,                0.69849,                0.91284,                0.86933,                0.56369,                 1.3241,                 1.2245,                 1.5715,               0.001388,               0.001388,               0.001388
                     89,                0.63644,                0.63882,                0.96936,                0.78643,                0.83372,                0.85837,                0.60268,                 1.2357,                 1.0951,                  1.513,              0.0013875,              0.0013875,              0.0013875
                     90,                0.64492,                0.60587,                0.97995,                0.74449,                0.85713,                0.84428,                 0.5952,                 1.2142,                 1.0954,                 1.4696,               0.001387,               0.001387,               0.001387
                     91,                0.67689,                0.63108,                0.99258,                0.69973,                0.80707,                 0.8527,                0.59044,                 1.2869,                   1.19,                 1.5227,              0.0013866,              0.0013866,              0.0013866
                     92,                0.68598,                0.63208,                0.99317,                 0.6866,                 0.7963,                0.84703,                0.54473,                 1.3352,                 1.2092,                 1.5389,              0.0013861,              0.0013861,              0.0013861
                     93,                 0.7011,                0.65383,                  1.006,                0.66079,                 0.7963,                0.73662,                0.46087,                 1.4554,                 1.2116,                 1.6597,              0.0013856,              0.0013856,              0.0013856
                     94,                 0.6746,                0.64044,                0.97488,                0.70298,                0.70926,                0.73182,                0.46431,                 1.4182,                  1.161,                 1.6778,              0.0013851,              0.0013851,              0.0013851
                     95,                0.65321,                0.58018,                0.97051,                0.81748,                0.68966,                0.79503,                0.44686,                 1.4132,                  1.207,                 1.7254,              0.0013847,              0.0013847,              0.0013847
                     96,                 0.6705,                0.60388,                0.98906,                0.79394,                0.83436,                0.85391,                0.52804,                 1.3689,                 1.1474,                 1.6438,              0.0013842,              0.0013842,              0.0013842
                     97,                0.66278,                0.58243,                0.98813,                0.76671,                0.73333,                0.72148,                0.43379,                 1.4562,                 1.2542,                 1.6052,              0.0013837,              0.0013837,              0.0013837
                     98,                0.66919,                0.62887,                0.98512,                0.78316,                0.73148,                0.74087,                0.46248,                 1.4562,                  1.189,                 1.6241,              0.0013833,              0.0013833,              0.0013833
                     99,                0.69658,                0.63337,                 1.0102,                0.85142,                0.67932,                0.72694,                 0.4495,                 1.5292,                 1.1192,                  1.731,              0.0013828,              0.0013828,              0.0013828
                    100,                0.66354,                0.60981,                0.98967,                0.81341,                0.59742,                0.64079,                 0.3735,                 1.5645,                 1.3509,                 1.7689,              0.0013823,              0.0013823,              0.0013823
                    101,                0.57837,                0.56127,                0.93512,                0.64934,                0.61382,                0.61077,                 0.3856,                  1.503,                 1.4637,                 1.7327,              0.0013818,              0.0013818,              0.0013818
                    102,                0.65813,                0.59661,                0.98321,                 0.7115,                0.59176,                0.61314,                0.38835,                  1.428,                 1.4871,                 1.6889,              0.0013814,              0.0013814,              0.0013814
                    103,                0.66234,                 0.6033,                 1.0024,                0.78392,                0.61641,                0.77873,                0.49348,                 1.3605,                 1.2525,                  1.551,              0.0013809,              0.0013809,              0.0013809
                    104,                 0.6181,                0.56382,                0.94478,                0.79953,                0.68597,                0.80089,                0.48158,                 1.3261,                 1.2202,                 1.4948,              0.0013804,              0.0013804,              0.0013804
                    105,                0.62334,                 0.5664,                0.96876,                0.69887,                0.79259,                0.78286,                0.50436,                 1.3198,                 1.0844,                 1.4966,                0.00138,                0.00138,                0.00138
                    106,                 0.6656,                0.60036,                 1.0016,                0.75041,                0.82376,                0.82722,                0.55134,                 1.3247,                 1.0725,                 1.5297,              0.0013795,              0.0013795,              0.0013795
                    107,                0.62114,                0.57179,                0.95264,                0.90762,                0.71524,                0.86063,                0.55136,                 1.2747,                 1.0961,                 1.4851,               0.001379,               0.001379,               0.001379
                    108,                0.61584,                0.56437,                0.96534,                0.77019,                0.81667,                0.84363,                0.55236,                 1.2758,                 1.1705,                 1.5112,              0.0013785,              0.0013785,              0.0013785
                    109,                0.65926,                 0.6582,                0.99761,                0.71041,                0.86667,                0.82558,                0.52763,                 1.3217,                 1.4427,                 1.5551,              0.0013781,              0.0013781,              0.0013781
                    110,                0.65942,                0.62335,                0.98827,                0.70496,                0.86667,                0.82071,                0.51364,                 1.3503,                 1.5428,                 1.5872,              0.0013776,              0.0013776,              0.0013776
                    111,                0.59758,                0.56349,                0.95218,                0.68533,                0.84195,                0.81305,                0.51364,                 1.4612,                 1.5817,                 1.7288,              0.0013771,              0.0013771,              0.0013771
                    112,                0.66211,                0.60413,                0.98821,                0.69305,                0.83592,                0.82336,                0.50574,                 1.4738,                 1.4705,                 1.7582,              0.0013767,              0.0013767,              0.0013767
                    113,                0.57735,                0.54077,                0.93705,                0.74014,                0.78042,                0.81953,                0.47529,                 1.4685,                 1.2516,                 1.7564,              0.0013762,              0.0013762,              0.0013762
